Guinea;gt13,132,795;gt2.83 %;gt361,549;gt53;gt245,720;gt-4,000;gt4.7;gt18;gt39 %;gt0.17 %
Rwanda;gt12,952,218;gt2.58 %;gt325,268;gt525;gt24,670;gt-9,000;gt4.1;gt20;gt18 %;gt0.17 %
Benin;gt12,123,200;gt2.73 %;gt322,049;gt108;gt112,760;gt-2,000;gt4.9;gt19;gt48 %;gt0.16 %
Burundi;gt11,890,784;gt3.12 %;gt360,204;gt463;gt25,680;gt2,001;gt5.5;gt17;gt14 %;gt0.15 %
Tunisia;gt11,818,619;gt1.06 %;gt123,900;gt76;gt155,360;gt-4,000;gt2.2;gt33;gt70 %;gt0.15 %
Bolivia;gt11,673,021;gt1.39 %;gt159,921;gt11;gt1,083,300;gt-9,504;gt2.8;gt26;gt69 %;gt0.15 %
Belgium;gt11,589,623;gt0.44 %;gt50,295;gt383;gt30,280;gt48,000;gt1.7;gt42;gt98 %;gt0.15 %
Haiti;gt11,402,528;gt1.24 %;gt139,451;gt414;gt27,560;gt-35,000;gt3.0;gt24;gt57 %;gt0.15 %
Cuba;gt11,326,616;gt-0.06 %;gt-6,867;gt106;gt106,440;gt-14,400;gt1.6;gt42;gt78 %;gt0.15 %
South Sudan;gt11,193,725;gt1.19 %;gt131,612;gt18;gt610,952;gt-174,200;gt4.7;gt19;gt25 %;gt0.14 %
Dominican Republic;gt10,847,910;gt1.01 %;gt108,952;gt225;gt48,320;gt-30,000;gt2.4;gt28;gt85 %;gt0.14 %
Czech Republic (Czechia);gt10,708,981;gt0.18 %;gt19,772;gt139;gt77,240;gt22,011;gt1.6;gt43;gt74 %;gt0.14 %
Greece;gt10,423,054;gt-0.48 %;gt-50,401;gt81;gt128,900;gt-16,000;gt1.3;gt46;gt85 %;gt0.13 %
Jordan;gt10,203,134;gt1.00 %;gt101,440;gt115;gt88,780;gt10,220;gt2.8;gt24;gt91 %;gt0.13 %
Portugal;gt10,196,709;gt-0.29 %;gt-29,478;gt111;gt91,590;gt-6,000;gt1.3;gt46;gt66 %;gt0.13 %
Azerbaijan;gt10,139,177;gt0.91 %;gt91,459;gt123;gt82,658;gt1,200;gt2.1;gt32;gt56 %;gt0.13 %
Sweden;gt10,099,265;gt0.63 %;gt62,886;gt25;gt410,340;gt40,000;gt1.9;gt41;gt88 %;gt0.13 %
Honduras;gt9,904,607;gt1.63 %;gt158,490;gt89;gt111,890;gt-6,800;gt2.5;gt24;gt57 %;gt0.13 %
United Arab Emirates;gt9,890,402;gt1.23 %;gt119,873;gt118;gt83,600;gt40,000;gt1.4;gt33;gt86 %;gt0.13 %
Hungary;gt9,660,351;gt-0.25 %;gt-24,328;gt107;gt90,530;gt6,000;gt1.5;gt43;gt72 %;gt0.12 %
Tajikistan;gt9,537,645;gt2.32 %;gt216,627;gt68;gt139,960;gt-20,000;gt3.6;gt22;gt27 %;gt0.12 %
Belarus;gt9,449,323;gt-0.03 %;gt-3,088;gt47;gt202,910;gt8,730;gt1.7;gt40;gt79 %;gt0.12 %
Austria;gt9,006,398;gt0.57 %;gt51,296;gt109;gt82,409;gt65,000;gt1.5;gt43;gt57 %;gt0.12 %
Papua New Guinea;gt8,947,024;gt1.95 %;gt170,915;gt20;gt452,860;gt-800;gt3.6;gt22;gt13 %;gt0.11 %
Serbia;gt8,737,371;gt-0.40 %;gt-34,864;gt100;gt87,460;gt4,000;gt1.5;gt42;gt56 %;gt0.11 %
Israel;gt8,655,535;gt1.60 %;gt136,158;gt400;gt21,640;gt10,000;gt3.0;gt30;gt93 %;gt0.11 %
Switzerland;gt8,654,622;gt0.74 %;gt63,257;gt219;gt39,516;gt52,000;gt1.5;gt43;gt74 %;gt0.11 %
Togo;gt8,278,724;gt2.43 %;gt196,358;gt152;gt54,390;gt-2,000;gt4.4;gt19;gt43 %;gt0.11 %
Sierra Leone;gt7,976,983;gt2.10 %;gt163,768;gt111;gt72,180;gt-4,200;gt4.3;gt19;gt43 %;gt0.10 %
Hong Kong;gt7,496,981;gt0.82 %;gt60,827;gt7,140;gt1,050;gt29,308;gt1.3;gt45;gtN.A.;gt0.10 %
Laos;gt7,275,560;gt1.48 %;gt106,105;gt32;gt230,800;gt-14,704;gt2.7;gt24;gt36 %;gt0.09 %
Paraguay;gt7,132,538;gt1.25 %;gt87,902;gt18;gt397,300;gt-16,556;gt2.4;gt26;gt62 %;gt0.09 %
Bulgaria;gt6,948,445;gt-0.74 %;gt-51,674;gt64;gt108,560;gt-4,800;gt1.6;gt45;gt76 %;gt0.09 %
Libya;gt6,871,292;gt1.38 %;gt93,840;gt4;gt1,759,540;gt-1,999;gt2.3;gt29;gt78 %;gt0.09 %
Lebanon;gt6,825,445;gt-0.44 %;gt-30,268;gt667;gt10,230;gt-30,012;gt2.1;gt30;gt78 %;gt0.09 %
Nicaragua;gt6,624,554;gt1.21 %;gt79,052;gt55;gt120,340;gt-21,272;gt2.4;gt26;gt57 %;gt0.08 %
Kyrgyzstan;gt6,524,195;gt1.69 %;gt108,345;gt34;gt191,800;gt-4,000;gt3.0;gt26;gt36 %;gt0.08 %
